"AREA","BED","BATH","BUILT","DESCRIPTION","LOTSIZE","PRICE","TYPE"
1256,3,2,1955,"Unpack and enjoy this sprawling 3 bedroom, 1.5 bath, ranch style home with updates galore! Impressive floor plan offers vast amounts of space throughout unlike most ranch style layouts. Enjoy a large eat-in kitchen with an abundance of cabinetry and counter space, living room with fireplace and picture window overlooking the private rear yard. Updated baths, hardwood floors in all 3 bedrooms, ceiling fans throughout. Looking for more? How about the 11x21 enclosed 3 season porch with sliders (not included in total sq. ft.) attached to the 1 car garage with auto door opener. Full unfinished basement with hatchway and high ceilings is ready to finish for additional space. Updates include newer windows, roof, siding, gutters, electrical, gas furnace, gas hot water heater, garage door, kloter farms shed, plus a full home energy audit with new insulation inside and out makes this home complete. Truly a wonderful place to call home....Some photo's virtually staged to envision spaces furnished.","13068 sqft",257500,"SingleFamily"
1479,3,1,1927,"Located in the Behind the Rocks neighborhood of Hartford, this great 3 bedroom 1 full bathroom Colonial is perfection! Situated on a mature tree lined street your blocks away from all the wonderful amenities Hartford has to offer!  With a spacious eat-in kitchen that opens nicely to the formal dining room, it makes entertainment a breeze!  Enjoy the fireplace in the living room on those chilly New England nights.  This house has a wonderful mix of old world charm and modern day updates!  A quick drive lands you on New Britain Ave with it's world famous shopping and restaurants. Blocks away from Pope Park, Rocky Ridge Park, and Trinity College.  Don't let this one pass you by!","6969 sqft",159900,"SingleFamily"
4358,4,4,2008,"Stunning waterfront property tucked away on a peninsula with over 4,000 square feet of living space, including 4 bedrooms and 4 baths, set on 1.3 acres with 325’ lake frontage on a 43-acre lake adjacent to 300-acre state park. Feel at one with nature as you observe the changing colors throughout the seasons. A wonderful spot to swim, kayak, or paddleboard. Enjoy non-motorized boating in the summer months and ice skating in the winter, while watching amazing birds. No expense was spared in designing this home. Luxurious finishes are enhanced with custom wood cabinetry, rails, bookcases, doors, hardware, hand painted tile, art glass, granite, copper & slate. An open main floor design and plethora of glass maximizes the spectacular water views, while the entertaining spaces flow seamlessly together to gather or retreat. Other features include: 3 fireplaces, luxury appliances, built-in closets, multi zoned heating and cooling systems, automatic generator, security & irrigation systems, hydraulic gated entrance, surround fenced yard, mahogany deck with solid iron rails, wire ready sound system, 3-car garage, ample basement space that leads to a slate patio with stone terraces set among numerous specimen plants and trees. Minutes to schools, restaurants, shopping, and concerts in the park. Located in a private beach community with year-round activities. It is truly a magical spot for those seeking detail, quality and location in the beautiful, charming town of Ridgefield.","57063 sqft",1499999,"SingleFamily"
3042,3,3,1825,"Perfect home and location for the artist and aesthete! Affectionately referred to as ""Frog Hollow"", this  c. 1825 home is also referred to as the Enoch Gilbert house, and is an absolute treasure both inside and out. Located on a designated scenic road and bordering the celebrated 60 acre Weir Farm, this historic property is just 5 minutes to shopping and train, and 15 minutes to I-84, I-95 and the Merritt. This well preserved home is sited  beautifully on an exceptionally picturesque and bucolic property that includes stone walls, patios, a private pond and pergola, as well as a front courtyard that leads to the two car detached garage with loft. Unique and quaint floor plan allows everyone their own privacy, and actually has two main levels. The front to back living room has one of three fireplaces in the home, and the kitchen  includes top of the line stainless steel appliances and opens up to the family room which has windowed walls offering fantastic views of your own private oasis. And don't forget the dining room with fabulous brick flooring, a fireplace, and access to the patio outside. The master suite also offers those private and  exceptional private views. Perfect weekend getaway for those who wish to escape the city, and yet be close to everything. ALSO to note: New well pump Dec. 2020; New septic tank Dec. 2020","93218 sqft",9e+05,"SingleFamily"
1992,4,2,1980,"MOVE IN Ready Ranch with finished walk out basement .  New hardwood floor, New Appliances ,newer roof , update kitchen and baths, 2 newer central air and hot water heater.HAS IN-LAW APARTMENT AND WALK TO THE LAKE.","46609 sqft",299900,"SingleFamily"
1044,2,1,1944,"Location, location, location! Here is your prime opportunity to own this fantastic ranch, equipped with so many perks, just minutes to the water! Here you will find an open floor concept on the main level with a generously spacious living area, a formal dining room, a kitchen that leads to the one car garage, breezeway and oversized enclosed porch lined with windows overlooking the backyard. Gleaming hardwood floors stretch across the main level into each bedroom. The large master bedroom offers vaulted ceilings and a walk-in closet. The 2nd bedroom features a large double size closet. The main level concept is perfect for entertaining and gatherings all year round. The main level bathroom has been recently updated to give you a cozy beachy vibe. For extra space, the lower level has plenty of additional room with electric heat and lots of storage area. Other top notch features include a 2 tier yard with views looking out to the Long Island Sound, a garden area, a patio, new central air system, and a water heater installed in 2017. Conveniently located near I95, schools, shopping centers, restaurants, the local train station, parks and the best beaches West Haven has to offer!","10018 sqft",239900,"SingleFamily"
3255,4,3,1973,"Waterfront living at its finest! Owned by the same family for 27 years, this expansive 3,255 square foot, 4 bed, 2.5 bath colonial sits on 1.26 acres at the end of a quiet cul-de-sac with over 250 feet of frontage directly on the Connecticut River! Take advantage of your east-facing river view and enjoy daily sunrises from your picture-perfect patio, complete with an in-ground pool and hot tub. The open concept first floor features a beautifully-updated eat-in kitchen with gleaming hardwood floors, an enormous island, granite countertops, stainless steel appliances, and STUNNING RIVER VIEWS! The first floor also features two additional living areas, a half bath, and a laundry room. Head upstairs to find an expansive master bedroom complete with a beautifully-updated en suite, two walk-in closets, and a bonus space (currently used as an office) with more amazing river views. Continue down the hallway to find three additional spacious bedrooms and another updated full bath. Want more river frontage? An additional 1.11-acre buildable land parcel with an additional 125 feet of frontage (375 feet total) is available for sale as well! (See 45 Riverview Drive MLS #170362503). Opportunities to own direct riverfront property do not come around every day! This will not last!","54885 sqft",564900,"SingleFamily"
1152,4,1,1942,"Back on Market, no fault of house, buyer neglected to apply for mortgage.   Welcome to this lovely renovated cape style home located on the Trumbull/Bridgeport line with so much character and charm. Main level offers gleaming  refinished and stained hardwood floors throughout, light and bright NEW Eat-In Kitchen with stainless steel appliances and quartz countertops,  NEW bathroom, spacious living room, and 2 sun-filled rooms.  Upstairs boasts 2 additional bedrooms with hardwood floors. Lower level is bright and dry, just awaiting your ideas to turn into a playroom, office, gym, study, family room, lots of possibilities! Updates include 3 yr. old architectural shingled roof, gutters/downspouts and 5 yr. old  energy efficient windows and appliances.    Enjoy the large private, fenced backyard to relax after a long day.  Great location where you can enjoy shopping dining and easy access to highways and public transportation bus lines. Close proximity to New York.  Perfect for a family or Cash Cow for an investor.  IMMEDIATE OCCUPANCY","8712 sqft",299000,"SingleFamily"
3226,5,3,1928,"The historic Blanchard House on Norfolk's ""Victorian Row"" is sited gently above the road just a few blocks from the village center. The home offers over 3,000 sq. ft. of living space with beautiful detailing throughout. There are 5 bedrooms with the possibility of more, 3 full baths, formal living and dining rooms, a sitting room/family room, a first-floor master bedroom, and a stunningly remodeled kitchen with a private side porch. There are also two offices/workspaces making it an ideal work-from-home opportunity. The period detail provides a unifying atmosphere in this commodious home which offers space for family members and guests with room to spare.  There are outbuildings that offer a studio, workshop, garage, storage, and more, making it ideal for artists, photographers, car enthusiasts, woodworkers, and a variety of additional opportunities. The home offers heating by oil, a wood stove, a pellet stove, and active solar (6.6 kilowatts).  The Blanchard House is ideal for year-round living or a weekend getaway for family and friends, with Norfolk's offerings of dining, entertainment, shopping, recreational activities, hundreds of acres of state parks, a curling club, a country club with golf, tennis, and dining, Yale's auxiliary Summer music and art school, Toby Pond for swimming, historic neighborhoods, and skiing choices close by. Norfolk Connecticut ""New England in a Capsule""","12196 sqft",375000,"SingleFamily"
2596,4,2,1890,"The historic Isabella Beecher Hooker House sited on ""Norfolk's Victorian Row"" presents a plethora of memories relating to suffragism as well as period historic architecture beginning at the welcoming open front porch. This rare and unique home offers rich victorian detailing throughout as well as modern amenities. From the winding open staircase in the foyer to the double parlor, library, and dining room, one room draws you into another and then back again, each filled with its own personality. There are up to four bedrooms and a full bath on the second floor, a powder room on the first floor, and a large attic for storage as well as future additional rooms and multiple uses.   A light-filled kitchen just off the dining room also opens to a parking area with a two-stall garage with a large light-filled finished space above making it ideal for a painter, photographer, writer, office, storage, and additional uses.  This well-known home is just two blocks from the historic village center with dining, shopping, and entertainment. The town also offers swimming at Tobey Pond, state parks with trails, historic neighborhoods, a curling club, skiing opportunities a short distance away, and Yale's auxiliary summer campus for music and art. Norfolk Connecticut ""New England in a capsule.""","10018 sqft",359500,"SingleFamily"
