"AREA","BED","BATH","BUILT","DESCRIPTION","LOTSIZE","PRICE","TYPE"
NA,NA,NA,NA,"Very rare building lot ZONED - LB (local biz). Full utilities. Sidewalk. High visibility on very busy....MAIN STREET. This is your opportunity to build a new facility in the DOWNTOWN HEART of TORRINGTON.  Walk everywhere.....including brand new COUNTY COURTHOUSE, City Hall....and the WARNER THEATER. Has a two tiered lot...perfect for two story building with full walk-in lower level and upper level. Environmental reports completed.",NA,159900,"Unknown"
968,2,1,1911,"Come check out this cute bungalow, the perfect starter home at an affordable price! Updated kitchen with new cabinets & counter top. New Castle thermopane  windows with life time warranty installed 2 yrs ago. New bath fitters tub surround. MBR & smaller BR on the main level, upper level has another heated rm that could be used for an office or a BR w/o a closet. Front & back enclosed porches. Back yard is fenced in, with a deck and two sheds. Property line does extend beyond the fence line a few feet.","6098 sqft",159900,"SingleFamily"
1596,3,2,1925,"Spacious and affordable colonial on a quiet street near downtown. Remodeled kitchen with white cabinets and stainless steel appliances. Sweet breakfast bar with opening to dining room. Large formal living room at front of home. First floor bedroom with full bath offers floorplan versatility, 1st floor master or in-law potential. 2 more bedrooms and an office upstairs with another full bath. Walk up attic and basement offer plentiful storage. Large deck looking onto level yard and 1 car detached garage. Bring your decorating touches!","8276 sqft",159900,"SingleFamily"
1674,3,2,1860,"Don't miss the opportunity to purchase the buy of the year! - So much to offer in this, 3 bedroom, 2 bath Colonial with a 2 car garage at this price! Large eat-in kitchen. Hardwood floors throughout Available financing: FHA, Cash or Conventional. TBD. Lead Based Paint Addendum attached. See Agent to Agent Remarks for more information. Please make an appointment to view this home with a Real Estate Agent or Broker of your choice. All offers to be reviewed after 7 days on the market.","9583 sqft",159900,"SingleFamily"
NA,NA,NA,NA,"Envision your new business on this 2.07 acre lot on high traffic section of Route 6.  The level site is already zoned for Business and has a curb cut for easy access.  Examples of listed business types for this zoning would be retail stores, liquor sales, fitness centers, auto sales, child care and even health care facilities/offices.  With several existing nearby businesses, this is a wonderful opportunity.",NA,160000,"Unknown"
1008,2,2,1915,"Looking for a great rental property? 2-3 bedroom 1.5 bath colonial. 2nd kitchen upstairs, can be converted into a 3rd bedroom.  Needs work, cosmetics, painting, updating and a general clean out. Being sold ""As Is"". Cash, 203k or conventional loan only.  Seller relocating. Make an Offer!!","5662 sqft",160000,"SingleFamily"
1118,3,1,1958,"Single-family ranch in Bristol, not far from Peck Park. 3 bedroom, one full bath. Come and see! The additional property included in sale price: side lot owned by the homeowner. Subject to probate.","12196 sqft",160000,"SingleFamily"
2595,6,2,1861,"This towering Victorian residence features five bedrooms and two full bathrooms. All the bedrooms are located on the second level, and it has a two car detached garage. A 3rd level is present that with some repairs can be utilized as a potential apartment. 136 Church Street is located in a quaint and charming town with plenty of frequented localities. It's less than a mile from the Quinebaug River. Possesses great potential, but in need of some TLC.","7405 sqft",160000,"SingleFamily"
2155,3,2,1907,"Lovely colonial style property located right outside the downtown area of Bridgeport. With 2100+ sqft of livable space this home offers 3 bedrooms and 1.5 bathroom. Off street parking is available. Employment opportunities, city attractions, and public transportation all within 1 mile distance.","4791 sqft",164900,"SingleFamily"
864,3,1,1952,"3 bedroom ranch with one bath for sale in Willimantic.  full basement with walk out to rear yard.  Deck from kitchen area.  all wood floors.  close and convenient to amenities in Town and Uconn or ESCU in backyard.  see agent remarks","8712 sqft",164900,"SingleFamily"
1400,3,2,1890,"Well preserved 3 bedroom 2.5 bath colonial, hardwood floors, eat in kitchen. Upstairs bath recently remodeled. Enclosed front & rear porches, 3 car garage, spacious back yard. Come stay.","7405 sqft",164999,"SingleFamily"
1267,3,2,1940,"Great three bedroom cape located on quiet street. This spacious home has three bedrooms, one and half baths, partially finished basement. Nice yards area. Needs some TLC. Great location close to shopping, highways and restaurants.","5227 sqft",165000,"SingleFamily"
1152,3,1,1930,"Sought after Town Plot area in Waterbury.  Warm 3 bedroom 1 bathroom Cape Cod home.  Very bright with excellent light throughout the house.  Has pellet stove for alternative heating which will keep your oil bill down in the winter.  Roof was put on 5-6 years a go, front steps were replaced 10 years a go and new hot water heater.  Flat backyard with many options for a pool or a patio and firepit.  Has garage under house but is boarded up right now.  Bring your imagination and with a little TLC you will have a beautiful home in this great neighborhood.  Close to all the great restaurants on Highland Ave.  Walking distance to grocery store and pharmacy.","5662 sqft",165000,"SingleFamily"
1750,4,2,1911,"Very nice and large colonial home. 4 Bedrooms with high ceilings, large foyer with built in book shelves, formal living room with fireplace and dining room with chair rail. Recently  Remodeled kitchen and hardwood floors. 1 car garage. Bring your offer before is gone. . This property is just beautiful, big and ready to be occupied and enjoy it. Close to all your needs.","6098 sqft",165000,"SingleFamily"
912,3,2,1960,"Well cared for 3 bedroom 1.5 bath Ranch conveniently located to just about everything. Hardwood floors. Newer electric service wire and panel. Recently updated kitchen and bath.  Livable space in the lower level as well as laundry area, half bath, cedar closet and walk out to garage.","5662 sqft",165000,"SingleFamily"
1728,4,3,1990,"Large Dutch Colonial with nice size living room, dinning room, eat in kitchen and half bath on main floor. Second floor has four nice size bedrooms and two full baths. Needs some TLC","7405 sqft",165000,"SingleFamily"
1299,3,2,1925,"Don't miss your opportunity to purchase this spacious single family home in Hartford's desirable South End! This corner lot offers a large yard which is partially fenced, plenty of room for parking and a recently added front porch. The main floor is open concept with 3 generous sized bedrooms and a full bathroom. The attic contains approximately 200 additional square feet of semi finished space, with great bedroom potential and partial plumbing is in place for a full bathroom. The basement offers an additional 1,050 square feet that can easily be finished, there is currently a working half bathroom, with rough plumbing for a full bathroom. You are close to the park, playground and golf course, also a short commute to downtown Hartford and the Berlin Turnpike. This property has unlimited potential, and just needs it's finishing touches! Property is being sold as-is.  *Qualifies for renovation financing!","6534 sqft",168000,"SingleFamily"
NA,NA,NA,NA,"COMMERCIAL LOT IN BUSY LOCATION OF TOWN. CLOSE TO EVERYTHING. EASY ACCESS TO I-291, 91 & 84. GREAT OPPORTUNITY TO ALSO PURCHASE THE ADJACENT LOT ON TROY RD, MLS#170288950.",NA,168500,"Unknown"
1,2,NA,1947,"This 928 square foot single family home has 2 bedrooms and 1.0 bathrooms. This home is located at 535 South St, New Britain, CT 06051.","7405 sqft",NA,"SingleFamily"
1164,3,1,1929,"This 3 bed/1 bath colonial sits in a quiet neighborhood with a private back yard perfect for hosting summer parties.  Just minutes from area shops, restaurants, and major highways it's location is ideal. PROPERTY BEING SOLD AS-IS.","6098 sqft",169900,"SingleFamily"
1240,2,1,1961,"THIS FIVE ROOM 1240 SF RANCH IS IN NEED OF SOMEONE TO MAKE IT THEIR OWN. PROPERTY IS IN NEED OF REMODELING BUT HAS GREAT POTENTIAL. PROPERTY CARD STATES ITS A 2 BEDROOM HOME BUT THERE ARE 3 BEDROOMS ON THE FIRST FLOOR. LARGE EAT-IN KITCHEN LEADS OUT TO ENCLOSED SUNROOM. CLOSE TO HIGHWAY, SHOOLS AND SHOPPING.  PROPERTY WILL NOT QUALIFY FOR FHA OR VA FINANCING. SEE AGENT TO AGENT REMARKS.","12632 sqft",169900,"SingleFamily"
1302,4,2,1890,"Owner Occupant or Investment. Tenant is on a month to month Lease  Seller will not remove tenants due to Covid... looking for investor purchase...","91911 sqft",169900,"SingleFamily"
NA,NA,NA,NA,"Prime 3.25 Acre parcel with 420 ft of road frontage on rt. 66.  Corner lot with fantastic exposure on busy high traffic road. Call for list of possible uses. Sewer pipes are in. Sewer will soon be available.",NA,169900,"Unknown"
2097,3,2,1900,"Why Rent When You Can Own! Come see this Colonial that features 3-4 bedrooms, Eat in Kitchen, formal dining room and one and half bathrooms.  Not to mention the huge back yard waiting for your summer enjoyment and a 3 Car Garage.  Come put your finishing touches on this home and make it your own!","5662 sqft",169900,"SingleFamily"
1530,3,2,1994,"Crystal Lake Opportunity! Subject to Short Sale approval!, This is a $220k+ home offered with a discount due to visual concrete results, priced to sell!  Visual inspection of foundation attached and Identified as having a Class 3 severity due to the presence of Pyrrhotite. However the foundation is currently not showing significant signs of failure. Potential Investment close to Crystal Lake with a deeded right of way to a private beach. Live in it at a very affordable rate, RENT IT OUT or repair and rebuild your dream home with seasonal lake views Public sewer and an artisan well.   Bring all offers.","32234 sqft",169900,"SingleFamily"
1087,2,1,1952,"Very nice starter home, very well taken care of. This Ranch style home, offers 2 bedrooms 1 full bathroom on the first floor. Dining room and big size living room. Nice yard and corner lot.  This home will go live Saturday April 3rd,  Sale is contingent on Seller finding & closing on suitable housing","4791 sqft",169900,"SingleFamily"
1169,2,1,1940,"Centrally located 2 bedroom Cape with partial finished walk out basement, Currently zoned for business or residential, Brand new paint and flooring, new drive way, newer siding. Move in ready! Make this your home or business today!","10018 sqft",165900,"SingleFamily"
744,2,1,1930,"Quaint and bright bungalow style home in West Hartford! With hardwood flooring throughout and high ceilings, this home is beautifully maintained. The enclosed front porch is the perfect spot to enjoy your morning cup of coffee. Entering the home you are welcomed with an open floor plan. The spacious living room flows directly to the kitchen, perfect for entertaining. The kitchen is equipped with all stainless steel appliances and ample cabinet storage as well as counter space. Share your creations from the kitchen in the intimate eat in area of the kitchen. This home features an updated bathroom as well as 2 ample sized bedrooms. The bedrooms have great natural lighting, and have the potential to double as an at home office or work out area. Storage space is no problem in this home! The unfinished basement provides a generous amount of storage space. Moving outside, the patio is perfect for grilling and soaking up the sun. A shed is provided and an ideal spot for lawn equipment. This home is just a walk away from Charter Oak Hill School. Conveniently located minutes from Blue Back Square, as well as West Hartford Center! Also just a short walk to the Fast Track bus stop!","5662 sqft",169900,"SingleFamily"
2712,5,3,1858,"**Multiple Offers In, ""Highest & Best"" offers are due by Wednesday, 4/21/21 at Noon**  Take a look at this spacious Colonial. Front to back Living room with fireplace.  Formal dining room.  First floor family room has a slider to the deck.  There are two bedrooms and a full bathroom on the first floor plus an additional three more bedrooms and another full bathroom on the second floor.  Nice level yard.  Detached two car garage.  Repairs are needed to septic system that exceed the cost of $7,500 to hook up to the sewer system.   This is a Fannie Mae HomePath property.","47916 sqft",169900,"SingleFamily"
